1706414707Connecting to host 11.11.11.16, port 5201
1706414708[  5] local 172.17.0.2 port 41796 connected to 11.11.11.16 port 5201
1706414709[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706414959[  5]  70.00-71.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414960[  5]  71.00-72.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414961[  5]  72.00-73.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414962[  5]  73.00-74.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414963[  5]  74.00-75.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414964[  5]  75.00-76.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414965[  5]  76.00-77.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414966[  5]  77.00-78.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414967[  5]  78.00-79.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414968[  5]  79.00-80.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
